name,symbol,token_id,price,market_cap,volume_24h,change_24h,total_supply,icon
Bitcoin,BTC,1,63057.118348380005,1246407242609.069,30535500108.898098,5.42224848,19766321.0,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
Ethereum,ETH,2,2458.4159781590206,295948208089.8372,13452262293.815346,3.8399511,120381664.74636135,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
Tether USDt,USDT,3,1.0000033149757608,119732651724.14378,51735605046.43453,0.10424742,119732254814.62129,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
BNB,BNB,4,573.6475229024999,83713569711.1582,1631742025.1060038,2.62577766,145932068.68146208,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
Solana,SOL,5,146.21596788993065,68671807984.64431,1788263413.412573,6.16660304,469660112.8841105,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
USDC,USDC,6,0.9999473008367334,34958134910.735344,5074770987.899216,0.00353361,34959977272.28541,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
XRP,XRP,7,0.5413537066308285,30665012218.347652,927366097.6165916,2.22538586,56645058199.0,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
Dogecoin,DOGE,8,0.11123997656002409,16277377163.429365,655106884.8002516,5.97862977,146326686383.70523,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
TRON,TRX,9,0.16030158759775484,13874900159.129179,323245901.4518094,0.84700091,86554976572.94261,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
Toncoin,TON,10,5.239625290087317,13297822170.085943,136086812.20567966,3.09278995,2537933808.977462,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png
Cardano,ADA,11,0.3529907838402322,12340943780.149601,193783444.87818927,4.59692549,34961093448.080666,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
Avalanche,AVAX,12,27.40117775438603,11141075858.665628,263391102.42336354,6.88976945,406591131.1743638,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png
Shiba Inu,SHIB,13,1.7791604309212784e-05,10484012927.693514,389497510.94938624,8.17190538,589267428922344.0,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png
Chainlink,LINK,14,10.995268392279606,6892383666.8209305,211589251.8288956,4.64507783,626849970.4527867,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png
Bitcoin Cash,BCH,15,328.43314792797094,6494060395.361167,150796072.33219573,2.34223581,19772853.125,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png
Polkadot,DOT,16,4.186561326579409,6298988164.297899,118868975.88953617,3.59383893,1504573245.90165,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
NEAR Protocol,NEAR,17,4.770483244013018,5791678924.523991,242551439.5770516,5.27135343,1214065458.0,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png
Sui,SUI,18,2.0666497099383023,5711891971.017638,954462523.7613894,14.60899724,2763841372.608888,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png
UNUS SED LEO,LEO,19,6.066889105981501,5613480141.972395,13775143.73288714,0.8649948,925264998.9,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png
