post_id,token_symbol,content,user_id,created_at,retweets,replies,likes,conversation_id,in_reply_to_user_id,source,geo,entities,username,sentiment,score
1844498797843579076,NPC,"RT @0x_gm: If I never tweeted about $NPC again

It would still go to 20B-50B market cap 

Nobody can stop the SHIB like run that is coming…",972970759416111104,2024-10-10T22:02:37+00:00,46,0,0,1844498797843579076,,,,"{""annotations"": [{""start"": 37, ""end"": 39, ""probability"": 0.6953, ""type"": ""Organization"", ""normalized_text"": ""NPC""}, {""start"": 110, ""end"": 113, ""probability"": 0.3886, ""type"": ""Other"", ""normalized_text"": ""SHIB""}], ""mentions"": [{""start"": 3, ""end"": 9, ""username"": ""0x_gm"", ""id"": ""1325783268764037122""}], ""cashtags"": [{""start"": 36, ""end"": 40, ""tag"": ""NPC""}]}",CryptoWizardd,Positive,0.0012840195394277741
1844498721771556937,NPC,"$NPC is this cycle #1 meme

Say no more",972970759416111104,2024-10-10T22:02:19+00:00,34,70,260,1844498721771556937,,,,"{""cashtags"": [{""start"": 0, ""end"": 4, ""tag"": ""NPC""}]}",CryptoWizardd,Positive,0.023613593733318908
1844496062477963760,BTC,"Followerscount is going up again

Retail is coming back

Send incoming
#btc",972970759416111104,2024-10-10T21:51:45+00:00,18,57,464,1844496062477963760,,,,"{""hashtags"": [{""start"": 71, ""end"": 75, ""tag"": ""btc""}]}",CryptoWizardd,Positive,0.04094992172528998
1844494683046805809,TRAC,$TRAC 🚀 https://t.co/csE0EbeYZM,972970759416111104,2024-10-10T21:46:16+00:00,6,12,39,1844494683046805809,,,,"{""urls"": [{""start"": 8, ""end"": 31, ""url"": ""https://t.co/csE0EbeYZM"", ""expanded_url"": ""https://twitter.com/TheKusamarian/status/1844379860648468485"", ""display_url"": ""x.com/TheKusamarian/\u2026""}], ""cashtags"": [{""start"": 0, ""end"": 5, ""tag"": ""TRAC""}]}",CryptoWizardd,Positive,0.003567161181421423
1844494543422709987,,@TheKusamarian @NeuroWebAI @0xCrane 🔥🔥🔥🔥,972970759416111104,2024-10-10T21:45:42+00:00,0,2,6,1844379860648468485,1.5139648423690977e+18,,,"{""mentions"": [{""start"": 0, ""end"": 14, ""username"": ""TheKusamarian"", ""id"": ""1513964842369097728""}, {""start"": 15, ""end"": 26, ""username"": ""NeuroWebAI"", ""id"": ""1508750883659657222""}, {""start"": 27, ""end"": 35, ""username"": ""0xCrane"", ""id"": ""1368823644709851139""}]}",CryptoWizardd,Positive,0.0005230277495278222
1844452779424932194,,"Believe me once you made millions and your greedy af. Spending all on Girls, watches and cars.

You are useless.

Real happiness comes from giving to the ones that are real in need. Can barely get food on the table. Or dont have homes. 

Real G s know.",972970759416111104,2024-10-10T18:59:45+00:00,129,206,2126,1844452779424932194,,,,,CryptoWizardd,Positive,0.18892700332007245
1844445724228059454,,Time to bid.,972970759416111104,2024-10-10T18:31:43+00:00,36,214,934,1844445724228059454,,,,,CryptoWizardd,Positive,0.08242287120010779
1844434833075994842,INJ,"Imagine fading $INJ

Baggs packed. https://t.co/80f3QLHB45",972970759416111104,2024-10-10T17:48:26+00:00,65,69,552,1844434833075994842,,,,"{""annotations"": [{""start"": 16, ""end"": 25, ""probability"": 0.6153, ""type"": ""Organization"", ""normalized_text"": ""INJ\n\nBaggs""}], ""urls"": [{""start"": 35, ""end"": 58, ""url"": ""https://t.co/80f3QLHB45"", ""expanded_url"": ""https://twitter.com/injective/status/1843651046788518195"", ""display_url"": ""x.com/injective/stat\u2026""}], ""cashtags"": [{""start"": 15, ""end"": 19, ""tag"": ""INJ""}]}",CryptoWizardd,Positive,0.04993292839270758
1844426110999949422,,@Stefan_B_Trades U should went all in when i shilled all of 2023 below $2,972970759416111104,2024-10-10T17:13:47+00:00,1,5,15,1844388813118009752,1.748817899987288e+18,,,"{""mentions"": [{""start"": 0, ""end"": 16, ""username"": ""Stefan_B_Trades"", ""id"": ""1748817899987288065""}]}",CryptoWizardd,Positive,0.0013354828420679855
1844425840664379481,INJ,"RT @InjectiveQueen: $INJ is creating more revenue than BNB, Avalanche, Near, Internet computer, and close to being on par with TON. Almost…",972970759416111104,2024-10-10T17:12:42+00:00,96,0,0,1844425840664379481,,,,"{""annotations"": [{""start"": 21, ""end"": 23, ""probability"": 0.6104, ""type"": ""Organization"", ""normalized_text"": ""INJ""}, {""start"": 55, ""end"": 57, ""probability"": 0.5, ""type"": ""Other"", ""normalized_text"": ""BNB""}, {""start"": 60, ""end"": 68, ""probability"": 0.4424, ""type"": ""Other"", ""normalized_text"": ""Avalanche""}, {""start"": 127, ""end"": 129, ""probability"": 0.4349, ""type"": ""Other"", ""normalized_text"": ""TON""}], ""mentions"": [{""start"": 3, ""end"": 18, ""username"": ""InjectiveQueen"", ""id"": ""1790953914042351617""}], ""cashtags"": [{""start"": 20, ""end"": 24, ""tag"": ""INJ""}]}",CryptoWizardd,Positive,0.0026796929518492674
1844420801132625989,WOO,Run the $WOO train back https://t.co/UktCWYWrNw,972970759416111104,2024-10-10T16:52:41+00:00,30,69,312,1844420801132625989,,,,"{""annotations"": [{""start"": 9, ""end"": 11, ""probability"": 0.4715, ""type"": ""Organization"", ""normalized_text"": ""WOO""}], ""urls"": [{""start"": 24, ""end"": 47, ""url"": ""https://t.co/UktCWYWrNw"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1844420801132625989/photo/1"", ""display_url"": ""pic.x.com/UktCWYWrNw"", ""media_key"": ""3_1844420796136980488""}], ""cashtags"": [{""start"": 8, ""end"": 12, ""tag"": ""WOO""}]}",CryptoWizardd,Positive,0.028034847022899646
1844418565409214747,,Big moves by @Zebec_HQ https://t.co/LHUDaiDGMO,972970759416111104,2024-10-10T16:43:48+00:00,6,27,92,1844418565409214747,,,,"{""mentions"": [{""start"": 13, ""end"": 22, ""username"": ""Zebec_HQ"", ""id"": ""1435632291837976580""}], ""urls"": [{""start"": 23, ""end"": 46, ""url"": ""https://t.co/LHUDaiDGMO"", ""expanded_url"": ""https://twitter.com/Zebec_HQ/status/1843648948923445385"", ""display_url"": ""x.com/Zebec_HQ/statu\u2026""}]}",CryptoWizardd,Positive,0.008187239635583854
1844418496438075408,,@Zebec_HQ 👌,972970759416111104,2024-10-10T16:43:31+00:00,0,0,8,1843648948923445385,1.4356322918379766e+18,,,"{""mentions"": [{""start"": 0, ""end"": 9, ""username"": ""Zebec_HQ"", ""id"": ""1435632291837976580""}]}",CryptoWizardd,Positive,0.0006973703327037629
1844415182690468078,,Dubai gonna lead ? https://t.co/5JfeJYD2xb,972970759416111104,2024-10-10T16:30:21+00:00,12,38,166,1844415182690468078,,,,"{""urls"": [{""start"": 19, ""end"": 42, ""url"": ""https://t.co/5JfeJYD2xb"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1844415182690468078/photo/1"", ""display_url"": ""pic.x.com/5JfeJYD2xb"", ""media_key"": ""3_1844415177657036811""}]}",CryptoWizardd,Positive,0.014805396022584237
1844408441869303848,,"RT @OGLong_official: 🚀 We’re excited to announce our partnership with @AILayerXYZ, the first Bitcoin Layer 2 focused on driving mass adopti…",972970759416111104,2024-10-10T16:03:34+00:00,15,0,0,1844408441869303848,,,,"{""mentions"": [{""start"": 3, ""end"": 19, ""username"": ""OGLong_official"", ""id"": ""1738273160816963584""}, {""start"": 70, ""end"": 81, ""username"": ""AILayerXYZ"", ""id"": ""1787599985128710144""}]}",CryptoWizardd,Positive,0.00041870202372644807
1844408335707275476,BTC,"Rip season soon believe me
#btc 🚀 https://t.co/vXCjkN5B0j",972970759416111104,2024-10-10T16:03:09+00:00,108,195,1272,1844408335707275476,,,,"{""hashtags"": [{""start"": 27, ""end"": 31, ""tag"": ""btc""}], ""annotations"": [{""start"": 28, ""end"": 30, ""probability"": 0.6229, ""type"": ""Organization"", ""normalized_text"": ""btc""}], ""urls"": [{""start"": 34, ""end"": 57, ""url"": ""https://t.co/vXCjkN5B0j"", ""expanded_url"": ""https://twitter.com/whale_alert/status/1844407116733243515"", ""display_url"": ""x.com/whale_alert/st\u2026""}]}",CryptoWizardd,Positive,0.11389653747072873
1844388813118009752,INJ,"Buy the $INJ dip

Thnx me later https://t.co/Ihm4JZPAbQ",972970759416111104,2024-10-10T14:45:34+00:00,74,204,757,1844388813118009752,,,,"{""urls"": [{""start"": 32, ""end"": 55, ""url"": ""https://t.co/Ihm4JZPAbQ"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1844388813118009752/photo/1"", ""display_url"": ""pic.x.com/Ihm4JZPAbQ"", ""media_key"": ""3_1844388804905308174""}], ""cashtags"": [{""start"": 8, ""end"": 12, ""tag"": ""INJ""}]}",CryptoWizardd,Positive,0.06805426438247737
1844388158307512760,,@XMaximist Your a chad bro,972970759416111104,2024-10-10T14:42:58+00:00,0,5,22,1844061745729634744,1.3446149128034263e+18,,,"{""mentions"": [{""start"": 0, ""end"": 10, ""username"": ""XMaximist"", ""id"": ""1344614912803426305""}]}",CryptoWizardd,Positive,0.0019177684149353478
1844387923757785223,BANANA,@KaminoCrypto Not selling a single $BANANA below $500,972970759416111104,2024-10-10T14:42:02+00:00,5,9,69,1844368735307694517,1.2692970677400123e+18,,,"{""mentions"": [{""start"": 0, ""end"": 13, ""username"": ""KaminoCrypto"", ""id"": ""1269297067740012545""}], ""cashtags"": [{""start"": 35, ""end"": 42, ""tag"": ""BANANA""}]}",CryptoWizardd,Positive,0.006154386460812104
1844382047089066396,BOB,$BOB https://t.co/MaZvDNJprw,972970759416111104,2024-10-10T14:18:41+00:00,39,52,243,1844382047089066396,,,,"{""urls"": [{""start"": 5, ""end"": 28, ""url"": ""https://t.co/MaZvDNJprw"", ""expanded_url"": ""https://twitter.com/CryptoGemRnld/status/1844367926461333537"", ""display_url"": ""x.com/CryptoGemRnld/\u2026""}], ""cashtags"": [{""start"": 0, ""end"": 4, ""tag"": ""BOB""}]}",CryptoWizardd,Positive,0.02227124911756556
